County,1980_pop,1990_pop,2000_pop,2010_pop,2020_pop,Median_Household_Income,Unemployment_Rate,Urban_Percent,Rural_Percent,40_year_growth,30_year_growth,20_year_growth,10_year_growth,Growth_Rank,Urban_Rank
Page,19063,16870,16976,15932,15211,72199,6.6,66.20%,33.80%,-20.20668310339401,-9.83402489626556,-10.397031102733271,-4.525483304042179,75,19
Palo Alto,12721,10669,10147,9421,8996,86020,3.6,0.00%,100.00%,-29.28228912821319,-15.680944793326459,-11.343254163792253,-4.511198386583165,74,63
Plymouth,24743,23388,24849,24986,25698,94094,2.1,39.50%,60.50%,3.8596774845410824,9.87685992816829,3.4166364843655677,2.8495957736332347,18,46
Pocahontas,11369,9525,8662,7310,7078,82009,6.3,0.00%,100.00%,-37.74298531093324,-25.690288713910764,-18.286769799122602,-3.1737346101231187,59,63
Polk,303170,327140,374601,430640,492401,99161,4.5,95.50%,4.50%,62.41745555299008,50.51690407776487,31.446792720788252,14.341677503250974,3,1
Pottawattamie,86561,82628,87704,93158,93667,84320,3.6,73.10%,26.90%,8.209239726897795,13.3598780074551,6.799005746602208,0.546383563408403,27,11
Poweshiek,19306,19033,18815,18914,18662,90108,4.6,50.80%,49.20%,-3.335750543872371,-1.9492460463405665,-0.8131809726282222,-1.3323464100666174,38,32
Ringgold,6112,5420,5469,5131,4663,84615,1.7,0.00%,100.00%,-23.70746073298429,-13.966789667896679,-14.737611994880234,-9.121029039173651,97,63
Sac,14118,12324,11529,10350,9814,87162,3.2,0.00%,100.00%,-30.48590451905369,-20.366764037650114,-14.87553126897389,-5.178743961352657,83,63
Scott,160022,150979,158668,165224,174669,94696,4.0,86.70%,13.30%,9.153116446488607,15.690923903324302,10.084579121183856,5.716481867041108,10,3
Shelby,15043,13230,13173,12167,11746,90041,2.5,40.10%,59.90%,-21.91717077710563,-11.216931216931217,-10.83276398694299,-3.4601791731733376,63,44
Sioux,30813,29903,31589,33704,35872,95737,2.3,43.40%,56.60%,16.418394833349563,19.961207905561317,13.558517205356294,6.432470923332542,7,40
Story,72326,74252,79981,89542,98537,109432,5.6,74.20%,25.80%,36.24007963941045,32.706189732263105,23.200510121153776,10.045565209622302,5,9
Tama,19533,17419,18103,17767,17135,78503,4.5,30.70%,69.30%,-12.27666001126299,-1.6304035822951948,-5.347180025410153,-3.557156526143975,65,53
Taylor,8353,7114,6958,6317,5896,76854,3.2,0.00%,100.00%,-29.414581587453608,-17.121169524880518,-15.263006611095143,-6.664555960107646,92,63
Union,13858,12750,12309,12534,12138,78482,5.7,61.80%,38.20%,-12.411603405974889,-4.8,-1.389227394589325,-3.1594064145524174,58,20
Van Buren,8626,7676,7809,7570,7203,70893,4.9,0.00%,100.00%,-16.496638070948297,-6.16206357477853,-7.760276603918556,-4.8480845442536324,81,63
Wapello,40241,35687,36051,35625,35437,67016,4.4,70.60%,29.40%,-11.938073109515171,-0.7005352088995993,-1.703142769964772,-0.527719298245614,33,13
Warren,34878,36033,40671,46225,52403,107434,3.2,52.90%,47.10%,50.24657377143185,45.43057752615658,28.84610656241548,13.365062195781505,4,31
Washington,20141,19612,20670,21704,22565,86333,2.6,30.30%,69.70%,12.035152177151085,15.057107893126656,9.167876149008226,3.9670106892738666,14,55
Wayne,8199,7067,6730,6403,6497,77570,1.6,0.00%,100.00%,-20.75862910110989,-8.065657280316966,-3.462109955423477,1.468061846009683,25,63
Webster,45953,40342,40235,38013,36999,82733,3.2,66.80%,33.20%,-19.485126107109437,-8.28664914976947,-8.042748850503294,-2.667508483939705,55,18
Winnebago,13010,12122,11723,10866,10679,86098,2.5,0.00%,100.00%,-17.916986933128364,-11.9039762415443,-8.905570246523927,-1.7209644763482423,43,63
Winneshiek,21876,20847,21310,21056,20070,88023,2.1,39.80%,60.20%,-8.255622600109708,-3.7271549863289684,-5.818864382918817,-4.682750759878419,78,45
Woodbury,100884,98276,103877,102172,105941,86194,4.5,83.90%,16.10%,5.012687839498831,7.799462737596158,1.9869653532543294,3.688877578984458,15,5
Worth,9075,7991,7909,7598,7443,87750,3.3,0.00%,100.00%,-17.983471074380162,-6.857714929295457,-5.892021747376407,-2.0400105290866017,49,63
Wright,16319,14269,14334,13229,12943,72665,2.2,0.00%,100.00%,-20.687542128806914,-9.292872661013387,-9.704199804660249,-2.1619170005291406,50,63
